Product StockKeepingUnit,Price (01s68000002Qj2SAAS) EUR,IsActive
5200569259,27.74,true
5200569260,29.89,true
5200569261,32.11,true
5200569262,33.75,true
5200569307,115.14,true
5200569553,14.67,true
5200569554,15.42,true
5200569556,17.98,true
5200569558,19.25,true
5200569559,21.94,true
5200569560,21.53,true
5200569744,20.49,true
5200569857,42.63,true
5200570270,11.31,true
5200570420,8.45,true
5200571872,9.34,true
5200572339,5.14,true
5200573451,27.54,true
5200573467,33.03,true
5200868643,22.7,true
5200868644,26.5,true
5200868645,28.1,true
5200868646,29.97,true
5200868647,33.73,true
5200868648,37.48,true
5200868649,41.22,true
5200868650,44.94,true
5200868651,46.83,true
5200868652,9.96,true
5200868653,11.96,true
5200868654,15.94,true
5200868655,19.55,true
5200868656,23.46,true
5200868657,27.39,true
5200868658,28.79,true
5200868665,9.16,true
5200868666,10.98,true
5200868667,14.64,true
5200868668,18.31,true
5200868669,21.95,true
5200868670,25.62,true
5200868671,27.46,true
5200868730,2.91,true
5200868731,3.66,true
5200868732,4.25,true
5200868733,4.55,true
5200868734,4.85,true
5200868735,5.79,true
5200868736,7.67,true
5200558098,5.33,true
5200558099,62.66,true
5200558143,74.09,true
5200558144,64.92,true
5200558145,32.46,true
5200558146,70.56,true
5200558165,3.59,true
5200558166,1.43,true
5200558167,0.72,true
5200558269,12.73,true
5200558282,84.58,true
5200558300,6.28,true
5200558301,8.09,true
5200558302,5.39,true
5200558303,6.01,true
5200558304,4.67,true
5200558305,6.83,true
5200558306,8.28,true
5200558307,5.44,true
5200558308,4.18,true
5200558309,5.14,true
5200558311,21.21,true
5200558314,8.2,true
5200573474,27.54,true
5200573478,27.54,true
5200573726,27.54,true
5200575818,1.43,true
5200576648,2.91,true
5200600481,4.21,true
5200601401,4.19,true
5200601914,210.84,true
5200602730,2.88,true
5200603326,12.69,true
5200603327,12.69,true
5200603328,12.69,true
5200603329,12.69,true
5200603330,12.69,true
5200603331,12.69,true
5200603334,74.73,true
5200605114,15.52,true
5200605180,12.86,true
5200608984,38.59,true
5200608987,37.2,true
5200609359,6.67,true
5200609386,20.14,true
5200609535,322.85,true
5200609765,3.61,true
5200615510,2.66,true
5200619897,42.63,true
5200620158,5.04,true
5200868737,8.94,true
5200868738,9.58,true
5200868739,10.22,true
5200868740,11.5,true
5200868741,12.79,true
5200868742,14.05,true
5200868743,15.34,true
5200868744,15.98,true
5200868748,7.33,true
5200868749,9.26,true
5200868750,10.81,true
5200868751,11.45,true
5200868752,12.24,true
5200868753,13.77,true
5200868754,15.3,true
5200868755,16.82,true
5200868756,18.35,true
5200868757,19.11,true
5200868761,11.38,true
5200868762,13.65,true
5200868763,15.92,true
5200868764,16.75,true
5200868765,17.86,true
5200868766,20.11,true
5200868767,22.33,true
5200868768,24.57,true
5200868769,26.8,true
5200874712,5.31,true
5200874717,6.2,true
5200874718,6.73,true
5200558315,10.08,true
5200558317,10.49,true
5200568322,36.45,true
5200568323,29.16,true
5200568324,3.7,true
5200568325,4.63,true
5200568326,5.94,true
5200568327,6.59,true
5200568328,3.7,true
5200568329,4.63,true
5200568330,4.81,true
5200568331,5.09,true
5200568332,5.55,true
5200568333,4.31,true
5200568334,5.4,true
5200568335,5.62,true
5200568336,5.94,true
5200568337,6.48,true
5200568338,3.52,true
5200568339,4.4,true
5200568340,4.58,true
5200568341,4.84,true
5200568342,5.28,true
5200568343,4.62,true
5200568344,5.77,true
5200568345,6.01,true
5200568346,6.35,true
5200568347,6.93,true
5200568348,5.26,true
5200568349,6.59,true
5200620159,42.47,true
5200620947,36.33,true
5200633067,0.64,true
5200633068,1.28,true
5200633853,4.32,true
5200636873,38.72,true
5200636913,38.72,true
5200637107,38.72,true
5200637108,38.72,true
5200637111,38.72,true
5200637117,38.72,true
5200637121,38.72,true
5200637339,39.04,true
5200637557,39.04,true
5200637772,39.04,true
5200637775,39.04,true
5200637778,47.38,true
5200638110,47.38,true
5200638638,17.45,true
5200640711,35.15,true
5200642235,5.41,true
5200660334,12.99,true
5200661054,4.01,true
5200874719,5.02,true
5200874720,15.13,true
5200874721,6.2,true
5200874722,6.73,true
5200874723,5.31,true
5200874724,11.94,true
5200874725,5.31,true
5200874726,6.2,true
5200874727,5.31,true
5200874728,6.73,true
5200874729,5.31,true
5200874733,11.94,true
5200874761,6.2,true
5200874762,6.73,true
5200874763,6.73,true
5200874764,11.94,true
5200874765,5.31,true
5200874766,5.35,true
5200874768,5.31,true
5200874769,5.12,true
5200874770,6.2,true
5200874771,6.2,true
5200874772,6.2,true
5200874773,11.94,true
5200874774,6.2,true
5200874775,11.94,true
5200874776,6.73,true
5200877533,9.24,true
5200878491,109.32,true
5200878493,108.24,true
5200880407,6.14,true
5200568350,6.85,true
5200568351,7.24,true
5200568352,7.9,true
5200568353,5.16,true
5200568354,6.46,true
5200568355,6.71,true
5200568356,7.11,true
5200568357,7.75,true
5200568368,5.18,true
5200568369,6.05,true
5200568370,4.9,true
5200568372,5,true
5200568373,5.64,true
5200568374,5.92,true
5200568375,6.91,true
5200568376,7.39,true
5200568377,5.27,true
5200568378,6.15,true
5200568379,6.59,true
5200568381,1.85,true
5200568382,1.76,true
5200568384,6.48,true
5200568387,5.83,true
5200568388,5.06,true
5200568389,6.57,true
5200568533,101.21,true
5200568534,106.51,true
5200568576,1.08,true
5200568577,1.62,true
5200568586,0.99,true
5200662604,350.21,true
5200662605,347.02,true
5200662606,210.22,true
5200665103,183.77,true
5200665156,7.39,true
5200666191,164.02,true
5200666193,38.85,true
5200675191,4.43,true
5200676000,8.89,true
5200676667,20.49,true
5200677175,3.19,true
5200677580,6.93,true
5200678030,56.75,true
5200680657,3.47,true
5200682021,1.81,true
5200688500,59.85,true
5200690542,119.07,true
5200690546,246.63,true
5200691081,165.2,true
5200691107,181.04,true
5200691131,174.03,true
5200691135,1.21,true
5200691147,193.2,true
5200691151,122.95,true
5200691156,127.82,true
5200884843,33.03,true
5200885718,39.04,true
5200886264,39.04,true
5200886610,39.65,true
5200886614,40.17,true
5200886615,39.65,true
5200886629,39.65,true
5200886768,58.26,true
5200887153,38.72,true
5200887373,39.65,true
5200887461,47.38,true
5200888991,127.3,true
5200888995,123.38,true
5200889430,2.16,true
5200889431,2.51,true
5200889432,3.13,true
5200889433,3.87,true
5200889434,4.64,true
5200889435,5.58,true
5200889436,5.8,true
5200889437,6.21,true
5200889438,7.29,true
5200889439,7.7,true
5200889440,8.9,true
5200889441,9.34,true
5200889442,9.55,true
5200889445,5.65,true
5200889446,6.78,true
5200889447,7.91,true
5200568588,1.08,true
5200568592,2.12,true
5200568614,2.56,true
5200568615,3,true
5200568617,3.39,true
5200568619,3.83,true
5200568620,4.26,true
5200568641,2.56,true
5200568713,4.24,true
5200568762,2.17,true
5200568889,498.18,true
5200568892,56.63,true
5200568895,15.62,true
5200568897,20.24,true
5200568902,438.4,true
5200568903,113.27,true
5200568904,11.85,true
5200568907,35.53,true
5200568910,13.01,true
5200568911,16.26,true
5200568913,1.22,true
5200568914,1.27,true
5200568915,1.76,true
5200568916,1.86,true
5200568917,1.95,true
5200568918,2,true
5200568919,2.03,true
5200568920,2.11,true
5200568921,2.42,true
5200694646,9.86,true
5200694647,24.12,true
5200764854,42.63,true
5200764855,42.63,true
5200764857,42.63,true
5200764858,42.63,true
5200764859,42.63,true
5200764860,42.63,true
5200765109,23.34,true
5200769523,27.54,true
5200772424,102.73,true
5200774042,61.64,true
5200774057,3.94,true
5200774734,7.63,true
5200775325,21.77,true
5200775326,25.11,true
5200775327,28.65,true
5200775328,37.92,true
5200813884,3.7,true
5200813885,4.63,true
5200813886,4.81,true
5200813888,5.09,true
5200813889,5.55,true
5200813892,4.31,true
5200813894,5.4,true
5200813896,5.62,true
5200813897,6.48,true
5200889448,8.41,true
5200889449,8.89,true
5200889450,9.99,true
5200889451,11.11,true
5200889452,12.22,true
5200889453,13.31,true
5200889454,13.87,true
5200889810,14.82,true
5200891273,18.54,true
5200892812,1.76,true
5200892814,0.89,true
5200892819,2.06,true
5200892821,2.42,true
5200892823,2.6,true
5200892825,2.75,true
5200892827,3.13,true
5200892829,3.47,true
5200893012,8.58,true
5200893016,10.58,true
5200898621,4.3,true
5200898679,34.47,true
5200898682,36.32,true
5200898683,23.09,true
5200898700,23.09,true
5200898701,23.09,true
5200898703,23.09,true
5200898704,23.09,true
5200898705,23.09,true
5200898706,27.48,true
5200568922,2.7,true
5200568923,2.98,true
5200568924,1.71,true
5200568925,1.79,true
5200568926,2.34,true
5200568927,2.43,true
5200568928,2.58,true
5200568929,2.66,true
5200568930,2.7,true
5200568931,2.82,true
5200568932,3.24,true
5200568933,3.56,true
5200568934,3.9,true
5200568935,4.38,true
5200568936,4.77,true
5200568937,4.91,true
5200568938,5.5,true
5200568939,5.64,true
5200568940,7.65,true
5200568941,6.87,true
5200568942,8.84,true
5200568943,9.43,true
5200568944,11.98,true
5200568945,12.43,true
5200568946,12.88,true
5200568947,13.4,true
5200568948,2.37,true
5200568949,2.45,true
5200568950,3.05,true
5200568951,3.21,true
5200813899,3.52,true
5200813900,4.4,true
5200813901,4.58,true
5200813904,6.01,true
5200816273,16.15,true
5200817335,25.28,true
5200817338,7.48,true
5200817344,2.49,true
5200817347,1.24,true
5200817348,3.94,true
5200817355,87.78,true
5200817362,23.7,true
5200821268,18.46,true
5200821270,7.48,true
5200822141,9.56,true
5200822143,7.45,true
5200822421,5.26,true
5200822808,6.71,true
5200823388,16.4,true
5200823617,211.26,true
5200837842,162.46,true
5200837843,195.7,true
5200839525,2.03,true
5200841960,7.79,true
5200841962,11.23,true
5200841963,13.55,true
5200842175,11.37,true
5200842692,27.28,true
5200842693,18.24,true
5200898707,34.47,true
5200898733,27.48,true
5200898734,34.47,true
5200898759,27.48,true
5200898762,35.1,true
5200898763,28.55,true
5200898765,35.1,true
5200898767,28.55,true
5200898770,35.1,true
5200898771,28.55,true
5200898784,33.6,true
5200898786,36.32,true
5200898790,33.6,true
5200898792,36.32,true
5200898793,33.6,true
5200899059,234.61,true
5200899371,10.93,true
5200899372,10.93,true
5200899374,10.93,true
5200899376,10.93,true
5200899378,10.93,true
5200899379,10.93,true
5200899380,10.93,true
5200899382,10.93,true
5200899384,10.93,true
5200899386,10.93,true
5200899387,10.93,true
5200899390,10.93,true
5200899391,10.93,true
5200899392,10.93,true
5200568952,3.41,true
5200568953,3.5,true
5200568954,3.58,true
5200568955,3.66,true
5200568956,4.18,true
5200568957,4.58,true
5200568958,4.98,true
5200568959,5.78,true
5200568960,6.17,true
5200568961,6.27,true
5200568962,6.98,true
5200568963,7.36,true
5200568964,8.22,true
5200568965,8.46,true
5200568966,10.56,true
5200568967,13.28,true
5200568968,14.1,true
5200568969,14.72,true
5200568970,15.51,true
5200568971,16.2,true
5200568972,3.14,true
5200568973,3.27,true
5200568974,3.87,true
5200568975,4.1,true
5200568976,4.33,true
5200568977,4.46,true
5200568978,4.59,true
5200568979,4.69,true
5200568980,5.29,true
5200568981,5.45,true
5200842694,19.53,true
5200842695,19.53,true
5200842696,18.24,true
5200842697,19.53,true
5200842698,27.28,true
5200842699,22.5,true
5200842700,19.53,true
5200842701,22.5,true
5200842702,37.54,true
5200842703,27.28,true
5200842704,22.5,true
5200842705,22.5,true
5200842706,22.5,true
5200842707,19.53,true
5200842708,19.53,true
5200842709,22.5,true
5200842710,22.5,true
5200842711,37.54,true
5200842712,19.53,true
5200842713,19.53,true
5200842714,37.54,true
5200842715,22.5,true
5200842716,22.5,true
5200842717,27.28,true
5200842718,37.54,true
5200842719,22.5,true
5200842720,37.54,true
5200842721,45.45,true
5200842722,24.78,true
5200842723,18.81,true
5200899393,10.93,true
5200899399,33.51,true
5200899408,33.51,true
5200899409,33.51,true
5200899410,33.51,true
5200899414,33.51,true
5200899419,33.51,true
5200899420,33.51,true
5200899421,33.51,true
5200899422,33.51,true
5200899424,33.51,true
5200899428,33.51,true
5200899431,33.51,true
5200899433,33.51,true
5200899437,33.51,true
5200899438,33.51,true
5200902010,35.19,true
5200902145,126.77,true
5200904984,36.51,true
5200905661,1.15,true
5200905662,2.29,true
5200905663,6.88,true
5200905955,24.34,true
5200906073,33.51,true
5200906074,44.75,true
5200906075,33.03,true
5200906076,32.13,true
5200906077,29.74,true
5200906078,27.65,true
5200906079,27.54,true
5200568982,6.26,true
5200568983,7.23,true
5200568984,7.66,true
5200568985,7.8,true
5200568986,8.66,true
5200568987,8.89,true
5200568988,9.87,true
5200568989,10.5,true
5200568990,12.42,true
5200568991,15.34,true
5200568992,16.38,true
5200568993,17.14,true
5200568994,18.26,true
5200568995,19.14,true
5200568996,4.08,true
5200568997,4.22,true
5200568998,4.86,true
5200568999,5.17,true
5200569000,5.38,true
5200569001,5.58,true
5200569002,5.71,true
5200569003,5.87,true
5200569004,6.54,true
5200569005,7.28,true
5200569006,7.8,true
5200569007,8.88,true
5200569008,9.36,true
5200569009,9.52,true
5200569010,10.28,true
5200569011,10.88,true
5200842724,19.61,true
5200842725,19.61,true
5200842726,18.81,true
5200842727,19.61,true
5200842728,24.78,true
5200842729,22.8,true
5200842730,19.61,true
5200842731,22.8,true
5200842732,43.81,true
5200842733,24.78,true
5200842734,24.78,true
5200842735,22.8,true
5200842736,22.8,true
5200842737,19.61,true
5200842738,19.61,true
5200842739,22.8,true
5200842740,22.8,true
5200842741,43.81,true
5200842742,19.61,true
5200842743,19.61,true
5200842744,43.81,true
5200842745,22.8,true
5200842746,22.8,true
5200842747,24.78,true
5200842748,43.81,true
5200842749,24.78,true
5200842750,43.81,true
5200842751,55.52,true
5200845820,5.62,true
5200906080,58.26,true
5200906081,44.16,true
5200906082,42.1,true
5200906084,40.17,true
5200906085,39.65,true
5200906086,38.72,true
5200906087,56.88,true
5200906088,42.97,true
5200906089,41.7,true
5200906090,40.05,true
5200906091,39.85,true
5200906092,39.04,true
5200906093,66.52,true
5200906094,61.11,true
5200906095,58.11,true
5200906096,54.61,true
5200906097,50.62,true
5200906100,47.38,true
5200906101,42.63,true
5200906102,152.57,true
5200906103,117.89,true
5200906104,106.34,true
5200906107,97.64,true
5200906108,91.09,true
5200906109,85.56,true
5200906110,154.17,true
5200906111,119.13,true
5200906112,107.1,true
5200906113,96.8,true
5200906114,90.01,true
5200906115,74.73,true
5200906198,85.81,true
5200906200,53.27,true
5200569012,11.98,true
5200569013,12.34,true
5200569014,14.42,true
5200569015,17.54,true
5200569016,18.77,true
5200569017,19.69,true
5200569018,21.16,true
5200569019,22.2,true
5200569020,6.37,true
5200569021,6.6,true
5200569022,7.41,true
5200569023,7.73,true
5200569024,8.01,true
5200569025,8.22,true
5200569026,8.46,true
5200569027,8.66,true
5200569028,9.62,true
5200569029,10.47,true
5200569030,10.98,true
5200569031,12.5,true
5200569032,13.1,true
5200569033,13.31,true
5200569034,14.23,true
5200569035,15.25,true
5200569036,16.62,true
5200569037,17.1,true
5200569038,20.72,true
5200569039,22.32,true
5200569040,23.97,true
5200569041,25.19,true
5200848293,38.61,true
5200849891,364.74,true
5200850028,3.47,true
5200850030,4.32,true
5200852238,21.76,true
5200852239,21.76,true
5200852288,31.31,true
5200852289,31.31,true
5200852290,31.31,true
5200852291,31.31,true
5200852292,31.31,true
5200852293,31.31,true
5200852294,31.31,true
5200852295,31.31,true
5200852296,31.31,true
5200852297,31.31,true
5200852651,5.78,true
5200856852,6.49,true
5200856854,7.21,true
5200856856,5.19,true
5200856858,5.78,true
